course_id,year,term,department,major,course_code,course_title,level,instructor,enrolled,capacity,fill_rate,credits,avg_grade,pass_rate
10000,2015,Fall,Engineering,Computer Science,CS-251,Intermediate Computer Science,200,Dr. Shapiro,34,42,0.81,3,2.83,0.764
10001,2015,Fall,Engineering,Computer Science,CS-443,Computer Science Research,400,Dr. Levin,27,40,0.675,3,3.36,1.0
10002,2015,Fall,Engineering,Computer Science,CS-246,Applied Computer Science,200,Dr. Friedman,26,39,0.667,3,3.11,0.887
10003,2015,Fall,Engineering,Mechanical,ME-304,Advanced Mechanical,300,Dr. Cohen,37,44,0.841,3,2.8,1.0
10004,2015,Fall,Engineering,Mechanical,ME-411,Mechanical Research,400,Dr. Levin,25,43,0.581,3,3.76,0.924
10005,2015,Fall,Engineering,Mechanical,ME-346,Topics in Mechanical,300,Prof. Mandel,22,34,0.647,3,3.4,0.829
10006,2015,Fall,Engineering,Mechanical,ME-108,Principles of Mechanical,100,Prof. Mandel,8,13,0.615,3,3.02,0.954
10007,2015,Fall,Engineering,Electrical,EE-111,Principles of Electrical,100,Dr. Friedman,22,33,0.667,3,2.81,0.971
10008,2015,Fall,Engineering,Electrical,EE-304,Advanced Electrical,300,Dr. Klein,24,26,0.923,3,2.96,0.896
10009,2015,Fall,Engineering,Civil,CE-433,Senior Seminar in Civil,400,Dr. Klein,24,34,0.706,3,3.7,0.985
10010,2015,Fall,Engineering,Civil,CE-256,Civil Methods,200,Prof. Rosen,25,33,0.758,3,3.49,0.906
10011,2015,Spring,Engineering,Computer Science,CS-315,Topics in Computer Science,300,Dr. Shapiro,29,35,0.829,3,2.72,0.902
10012,2015,Spring,Engineering,Computer Science,CS-402,Computer Science Capstone,400,Prof. Stern,33,33,1.0,4,3.26,0.906
10013,2015,Spring,Engineering,Computer Science,CS-114,Introduction to Computer Science,100,Dr. Levin,21,23,0.913,3,3.19,0.948
10014,2015,Spring,Engineering,Computer Science,CS-140,Introduction to Computer Science,100,Dr. Katz,35,37,0.946,3,3.01,0.878
10015,2015,Spring,Engineering,Mechanical,ME-106,Principles of Mechanical,100,Prof. Adler,24,31,0.774,3,3.79,0.835
10016,2015,Spring,Engineering,Mechanical,ME-328,Mechanical Theory,300,Prof. Schwartz,29,30,0.967,3,3.6,0.914
10017,2015,Spring,Engineering,Mechanical,ME-257,Applied Mechanical,200,Dr. Katz,29,42,0.69,4,2.97,1.0
10018,2015,Spring,Engineering,Mechanical,ME-106,Foundations of Mechanical,100,Prof. Goldberg,18,28,0.643,3,2.97,0.935
10019,2015,Spring,Engineering,Electrical,EE-255,Applied Electrical,200,Prof. Schwartz,48,48,1.0,3,2.74,0.979
10020,2015,Spring,Engineering,Electrical,EE-136,Foundations of Electrical,100,Dr. Cohen,26,32,0.812,3,3.3,0.978
10021,2015,Spring,Engineering,Electrical,EE-511,Graduate Electrical,500,Dr. Katz,35,35,1.0,3,2.6,0.889
10022,2015,Spring,Engineering,Electrical,EE-242,Intermediate Electrical,200,Dr. Levin,12,16,0.75,3,3.84,0.83
10023,2015,Spring,Engineering,Civil,CE-344,Advanced Civil,300,Dr. Levin,29,29,1.0,4,3.66,0.918
10024,2015,Spring,Engineering,Civil,CE-138,Principles of Civil,100,Dr. Klein,34,39,0.872,3,3.19,0.914
10025,2015,Spring,Engineering,Civil,CE-516,Civil Thesis Studio,500,Prof. Adler,46,51,0.902,3,3.3,0.918
10026,2016,Fall,Engineering,Computer Science,CS-318,Topics in Computer Science,300,Dr. Cohen,39,42,0.929,3,3.14,0.963
10027,2016,Fall,Engineering,Computer Science,CS-157,Introduction to Computer Science,100,Prof. Schwartz,4,12,0.333,4,3.21,0.877
10028,2016,Fall,Engineering,Computer Science,CS-140,Introduction to Computer Science,100,Prof. Goldberg,31,36,0.861,3,2.86,0.959
10029,2016,Fall,Engineering,Mechanical,ME-310,Topics in Mechanical,300,Dr. Levin,22,23,0.957,3,3.43,0.92
10030,2016,Fall,Engineering,Mechanical,ME-253,Applied Mechanical,200,Dr. Friedman,20,24,0.833,3,3.56,0.871
10031,2016,Fall,Engineering,Mechanical,ME-343,Topics in Mechanical,300,Prof. Stern,21,30,0.7,3,3.59,0.877
10032,2016,Fall,Engineering,Electrical,EE-258,Electrical Methods,200,Dr. Halpern,12,13,0.923,3,2.61,0.919
10033,2016,Fall,Engineering,Electrical,EE-114,Introduction to Electrical,100,Dr. Cohen,28,37,0.757,4,3.08,0.845
10034,2016,Fall,Engineering,Civil,CE-144,Introduction to Civil,100,Dr. Cohen,24,39,0.615,3,3.36,0.861
10035,2016,Fall,Engineering,Civil,CE-317,Topics in Civil,300,Dr. Weiss,47,47,1.0,3,3.39,0.979
10036,2016,Fall,Engineering,Civil,CE-222,Applied Civil,200,Dr. Klein,22,22,1.0,3,3.52,0.932
10037,2016,Fall,Engineering,Civil,CE-236,Intermediate Civil,200,Dr. Klein,16,17,0.941,3,3.31,1.0
10038,2016,Spring,Engineering,Computer Science,CS-135,Introduction to Computer Science,100,Dr. Cohen,29,32,0.906,3,2.85,0.916
10039,2016,Spring,Engineering,Computer Science,CS-133,Introduction to Computer Science,100,Dr. Cohen,26,30,0.867,3,3.49,0.909
10040,2016,Spring,Engineering,Computer Science,CS-354,Advanced Computer Science,300,Dr. Katz,24,29,0.828,3,3.57,0.863
10041,2016,Spring,Engineering,Mechanical,ME-112,Introduction to Mechanical,100,Prof. Rosen,22,42,0.524,3,3.22,0.978
10042,2016,Spring,Engineering,Mechanical,ME-244,Applied Mechanical,200,Dr. Cohen,39,44,0.886,4,3.76,0.935
10043,2016,Spring,Engineering,Mechanical,ME-512,Graduate Mechanical,500,Dr. Shapiro,27,27,1.0,3,3.28,0.943
10044,2016,Spring,Engineering,Electrical,EE-158,Introduction to Electrical,100,Dr. Katz,20,22,0.909,3,2.79,0.873
10045,2016,Spring,Engineering,Electrical,EE-215,Intermediate Electrical,200,Dr. Friedman,29,40,0.725,3,3.24,0.941
10046,2016,Spring,Engineering,Electrical,EE-102,Introduction to Electrical,100,Dr. Katz,15,22,0.682,3,3.34,0.991
10047,2016,Spring,Engineering,Civil,CE-237,Civil Methods,200,Prof. Adler,18,27,0.667,3,3.32,0.866
10048,2016,Spring,Engineering,Civil,CE-234,Applied Civil,200,Prof. Mandel,5,10,0.5,3,3.59,0.884
