year,department,applications,admits,admit_rate,new_enrolled,yield_rate,avg_test_score,total_enrollment,retention_rate,grad_rate,avg_gpa,pass_rate,avg_class_size,faculty_count,student_faculty_ratio,tuition_revenue,operating_budget
2015,Engineering,3585,1673,0.467,777,0.465,1160,3230,0.762,0.689,3.17,0.897,27.9,190,17.0,144322116,150550991
2016,Engineering,3911,2297,0.587,846,0.368,1305,3420,0.812,0.841,3.14,0.903,23.9,161,21.2,143677288,130515243
2017,Engineering,3831,2219,0.579,986,0.445,1299,4088,0.967,0.752,3.06,0.877,31.7,271,15.1,149468271,137222754
2018,Engineering,3958,2412,0.609,1091,0.453,1267,4653,0.872,0.788,3.19,0.945,29.3,330,14.1,196192064,205894792
2019,Engineering,3401,1783,0.524,698,0.392,1196,2830,0.846,0.885,2.99,0.949,17.9,148,19.1,107439334,109347687
2020,Engineering,3894,2033,0.522,797,0.392,1229,3006,0.85,0.691,2.95,0.873,31.0,155,19.4,114307895,124043437
2021,Engineering,3930,2064,0.525,923,0.447,1220,3446,0.842,0.753,2.93,0.929,25.2,226,15.2,139679360,137423102
2022,Engineering,4080,2105,0.516,874,0.415,1193,3399,0.788,0.687,2.97,0.926,22.6,156,21.8,142817537,152110253
2023,Engineering,3886,2073,0.534,752,0.363,1118,3250,0.902,0.659,3.23,0.92,24.4,161,20.2,133088582,130377289
2024,Engineering,4294,2911,0.678,1180,0.406,1322,4327,0.869,0.795,3.39,0.943,30.1,231,18.7,134442803,151589105
2025,Engineering,4238,1864,0.44,853,0.458,1423,3086,0.786,0.709,3.21,0.944,40.0,143,21.6,118166349,117226550
2015,Business,3319,1609,0.485,635,0.395,1102,2508,0.853,0.855,3.18,0.904,21.8,129,19.4,82920017,86885815
2016,Business,3802,2130,0.56,1020,0.479,1278,4419,0.801,0.712,3.02,0.995,23.1,267,16.6,199527523,187012229
2017,Business,3369,1841,0.547,700,0.381,1231,2612,0.837,0.694,2.92,0.917,37.5,123,21.2,97530644,92144876
2018,Business,3555,1838,0.517,893,0.486,1340,3282,0.937,0.793,2.93,0.855,37.9,215,15.3,102486454,105542070
2019,Business,3258,1558,0.478,714,0.459,1265,3125,0.86,0.769,3.21,0.966,28.5,208,15.0,115981058,122740286
2020,Business,3068,1471,0.48,588,0.4,1257,2453,0.794,0.782,3.06,0.897,34.0,113,21.7,81331746,91696869
2021,Business,3413,1943,0.569,836,0.431,1199,3080,0.865,0.796,3.6,0.985,22.9,173,17.8,129747285,110979474
2022,Business,4187,2058,0.492,783,0.381,1096,2964,0.852,0.706,3.05,0.875,27.4,168,17.6,96214736,88613647
2023,Business,3557,2479,0.697,1473,0.594,1274,5381,0.842,0.804,3.46,0.871,26.5,351,15.3,178245417,159722869
2024,Business,3543,1881,0.531,759,0.404,1223,2838,0.832,0.813,3.33,0.916,30.1,135,21.0,122943208,106105215
2025,Business,4030,2891,0.717,1487,0.514,1097,5848,0.822,0.702,3.36,0.921,30.9,281,20.8,258760880,295989119
2015,Arts & Sciences,3849,2198,0.571,930,0.423,1203,3927,0.855,0.762,3.18,0.969,12.6,205,19.2,128791226,114872825
2016,Arts & Sciences,3523,2030,0.576,1062,0.524,1311,4135,0.903,0.757,3.14,0.868,26.0,193,21.4,151574163,143769360
2017,Arts & Sciences,4347,2997,0.69,1337,0.446,1274,5673,0.845,0.785,3.02,0.95,20.9,271,20.9,172333549,178246988
2018,Arts & Sciences,4558,3170,0.696,1470,0.464,1171,6392,0.857,0.698,3.06,0.97,31.8,296,21.6,208129275,213753504
2019,Arts & Sciences,4163,2393,0.575,1170,0.489,1075,4747,0.745,0.801,3.16,0.927,37.7,221,21.5,143146756,126703641
2020,Arts & Sciences,4679,2711,0.579,1276,0.471,1159,5384,0.901,0.855,3.19,0.919,29.6,325,16.6,166026460,148483276
2021,Arts & Sciences,4620,2149,0.465,886,0.412,1313,3706,0.823,0.722,3.19,0.944,28.1,187,19.8,167220293,148080855
2022,Arts & Sciences,5575,2974,0.534,891,0.3,1107,3626,0.837,0.788,3.39,0.846,20.5,206,17.6,121234196,136453036
2023,Arts & Sciences,4906,2143,0.437,603,0.281,1236,2594,0.836,0.812,3.28,0.916,32.6,182,14.3,83876743,74894094
2024,Arts & Sciences,4977,3064,0.616,1214,0.396,1116,5007,0.847,0.772,3.3,0.83,20.2,240,20.9,145354085,158477982
2025,Arts & Sciences,4886,2764,0.566,1341,0.485,1116,5726,0.857,0.875,3.17,0.877,24.4,368,15.6,188234562,200087957
2015,Education,1990,874,0.439,387,0.444,1182,1584,0.884,0.771,2.82,0.947,24.4,72,22.0,57426481,62320611
2016,Education,1766,1017,0.576,449,0.442,1246,1956,0.843,0.677,3.34,0.897,34.7,108,18.1,68993242,68458587
2017,Education,2142,1189,0.556,510,0.43,1108,1960,0.818,0.803,3.15,0.923,23.0,104,18.8,66065203,56870112
2018,Education,1837,1295,0.705,629,0.486,1196,2552,0.877,0.752,3.1,0.917,31.7,138,18.5,91273626,94724110
2019,Education,2325,1320,0.568,667,0.506,1160,2874,0.889,0.776,3.12,0.879,30.6,160,18.0,86465500,75364864
2020,Education,1989,1152,0.579,464,0.403,1115,1794,0.845,0.845,2.82,0.897,16.1,105,17.1,55192467,56862156
2021,Education,1646,514,0.313,199,0.387,1226,874,0.882,0.741,3.23,0.848,26.2,62,14.1,27760895,27969837
2022,Education,2166,1072,0.495,507,0.474,1189,2226,0.811,0.718,3.39,0.902,36.4,152,14.6,92592569,90753098
2023,Education,2362,1230,0.521,447,0.364,1052,1933,0.883,0.67,3.26,0.888,34.9,131,14.8,62602165,69054978
2024,Education,2186,1170,0.536,473,0.405,1258,1991,0.87,0.709,3.28,0.937,30.3,98,20.3,86282532,86406558
2025,Education,2133,1044,0.49,373,0.358,1283,1444,0.816,0.775,3.21,0.912,23.4,92,15.7,41077202,46344865
2015,Nursing,1565,884,0.565,294,0.333,1307,1060,0.873,0.717,3.18,0.852,36.0,52,20.4,46915495,50021712
2016,Nursing,1395,734,0.526,261,0.356,1134,963,0.96,0.698,3.0,0.919,37.7,59,16.3,39682883,42658903
2017,Nursing,1521,635,0.418,217,0.343,1179,916,0.834,0.837,3.19,0.839,31.1,62,14.8,34806452,37960540
2018,Nursing,1682,1027,0.611,458,0.447,1163,1785,0.887,0.708,3.19,0.853,30.7,89,20.1,75712004,65467345
2019,Nursing,1568,1044,0.666,410,0.394,1315,1477,0.873,0.737,3.23,0.889,25.5,92,16.1,64028039,61108964
