student_id,year,department,major,class_level,gender,residency,gpa,status
100000,2015,Engineering,Electrical,Sophomore,Female,In-State,2.85,Enrolled
100001,2015,Engineering,Civil,Freshman,Male,In-State,3.3,Enrolled
100002,2015,Engineering,Computer Science,Senior,Male,In-State,3.47,Enrolled
100003,2015,Engineering,Computer Science,Junior,Female,In-State,3.54,Enrolled
100004,2015,Engineering,Computer Science,Junior,Female,In-State,3.3,Enrolled
100005,2015,Engineering,Civil,Senior,Male,International,3.16,Enrolled
100006,2015,Engineering,Mechanical,Freshman,Female,In-State,3.6,On Leave
100007,2015,Engineering,Civil,Senior,Male,In-State,2.98,Enrolled
100008,2015,Engineering,Mechanical,Senior,Male,Out-of-State,2.99,Enrolled
100009,2015,Engineering,Computer Science,Sophomore,Male,Out-of-State,3.39,Enrolled
100010,2015,Engineering,Mechanical,Senior,Female,In-State,3.88,Withdrawn
100011,2015,Engineering,Computer Science,Sophomore,Female,In-State,2.69,Enrolled
100012,2015,Engineering,Electrical,Sophomore,Male,In-State,3.61,Graduated
100013,2015,Engineering,Civil,Graduate,Male,Out-of-State,2.32,Enrolled
100014,2015,Engineering,Mechanical,Junior,Female,In-State,3.1,Enrolled
100015,2015,Engineering,Electrical,Sophomore,Male,In-State,3.17,Withdrawn
100016,2015,Engineering,Computer Science,Freshman,Female,International,3.44,Enrolled
100017,2015,Engineering,Mechanical,Sophomore,Female,In-State,3.57,Enrolled
100018,2015,Engineering,Computer Science,Senior,Female,In-State,3.32,On Leave
100019,2015,Engineering,Civil,Freshman,Female,Out-of-State,3.38,Enrolled
100020,2015,Engineering,Electrical,Freshman,Male,In-State,4.0,Enrolled
100021,2015,Engineering,Civil,Graduate,Female,In-State,3.12,Enrolled
100022,2015,Engineering,Mechanical,Junior,Female,International,3.59,Enrolled
100023,2015,Engineering,Computer Science,Sophomore,Male,In-State,2.72,Enrolled
100024,2015,Engineering,Electrical,Freshman,Male,Out-of-State,3.37,Withdrawn
100025,2015,Engineering,Mechanical,Senior,Male,International,3.45,Enrolled
100026,2015,Engineering,Computer Science,Graduate,Female,Out-of-State,3.03,Enrolled
100027,2015,Engineering,Mechanical,Junior,Female,International,3.12,Enrolled
100028,2015,Engineering,Mechanical,Sophomore,Female,In-State,3.54,Enrolled
100029,2015,Engineering,Mechanical,Junior,Male,In-State,3.32,Enrolled
100030,2015,Engineering,Computer Science,Senior,Female,Out-of-State,2.61,Enrolled
100031,2015,Engineering,Civil,Freshman,Female,Out-of-State,3.19,Enrolled
100032,2015,Engineering,Civil,Junior,Male,Out-of-State,3.31,Enrolled
100033,2015,Engineering,Electrical,Sophomore,Male,In-State,3.19,Enrolled
100034,2015,Engineering,Electrical,Senior,Male,In-State,2.94,Enrolled
100035,2015,Engineering,Mechanical,Sophomore,Male,In-State,3.53,Graduated
100036,2015,Engineering,Civil,Senior,Male,Out-of-State,3.22,Enrolled
100037,2015,Engineering,Computer Science,Senior,Male,In-State,3.37,Enrolled
100038,2015,Engineering,Electrical,Sophomore,Female,In-State,2.55,Enrolled
100039,2015,Engineering,Electrical,Senior,Male,In-State,3.1,Enrolled
100040,2015,Engineering,Mechanical,Senior,Female,Out-of-State,3.14,Enrolled
100041,2015,Engineering,Civil,Graduate,Female,In-State,2.67,Enrolled
100042,2015,Engineering,Civil,Graduate,Female,In-State,3.76,Enrolled
